Player,G,MP,TRB,AST,STL,BLK,TOV,PTS,FantasyPoints
Aaron Gordon,11.7,32.5,6.2,2.4,0.5,0.7,1.3,12.7,26.1
Aaron Holiday,3.7,8.4,0.6,1.7,0.5,0.1,0.7,3.8,8.0
Aaron Nesmith,10.0,9.2,1.8,0.2,0.2,0.2,0.2,2.0,5.4
Abdel Nader,4.0,7.0,1.0,0.0,0.2,0.4,0.0,1.0,3.8
Al Horford,15.7,32.9,7.9,2.9,0.7,1.4,0.9,8.6,28.0
Alec Burks,4.5,24.7,4.4,2.2,0.2,0.4,0.8,12.2,22.0
Alex Caruso,10.3,24.3,2.1,2.5,0.9,0.8,1.0,6.2,16.5
Alex Len,6.0,8.0,2.6,0.2,0.1,0.2,0.6,3.4,7.1
Alfonzo McKinnie,2.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6
Alize Johnson,3.0,2.3,1.3,0.0,0.3,0.0,0.3,0.8,3.0
Amir Coffey,4.7,1.6,0.1,0.5,0.1,0.0,0.0,0.5,1.6
Andre Drummond,4.5,18.0,7.0,0.4,1.0,0.7,1.8,6.4,18.8
Andre Iguodala,10.7,15.3,2.2,1.5,0.6,0.5,0.9,3.1,10.3
Andre Roberson,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Wiggins,17.5,34.4,6.6,1.8,0.9,1.1,1.4,16.6,31.9
Anfernee Simons,5.0,19.2,2.8,1.6,0.9,0.1,0.6,6.6,14.8
Anthony Davis,14.0,34.5,10.1,2.9,1.1,2.0,1.9,22.6,46.4
Anthony Edwards,5.5,38.8,4.6,4.1,1.5,1.6,2.0,28.4,47.3
Anthony Gill,4.0,8.3,1.0,0.0,0.0,0.0,0.8,0.0,0.4
Anthony Lamb,6.0,5.2,1.0,0.0,0.2,0.2,0.3,0.8,2.9
Anthony Tolliver,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonius Cleveland,2.0,4.5,0.5,0.0,0.5,0.0,0.0,2.0,4.1
Armoni Brooks,4.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6
Austin Reaves,16.0,36.2,4.4,4.6,0.6,0.2,1.6,16.9,29.9
Austin Rivers,7.8,20.3,1.5,1.2,0.6,0.2,0.7,5.2,10.5
Axel Toupane,4.0,2.5,1.0,0.0,0.0,0.0,0.0,1.3,2.5
Ayo Dosunmu,5.0,17.2,2.6,2.2,0.2,0.0,0.6,4.0,10.4
B.J. Johnson,1.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,5.4
Bam Adebayo,16.0,35.3,9.4,3.8,1.0,0.7,2.5,16.5,36.1
Ben McLemore,7.5,10.4,1.4,0.4,0.4,0.0,0.3,2.8,5.8
Ben Simmons,12.0,33.5,7.9,8.8,1.3,0.8,2.3,11.9,38.6
Bismack Biyombo,8.5,9.7,2.8,0.7,0.0,0.8,0.8,3.1,9.1
Blake Griffin,5.0,15.0,3.3,1.3,0.4,0.3,0.3,4.3,12.2
Boban Marjanović,4.3,12.2,4.9,0.6,0.1,0.2,0.7,6.6,13.6
Bobby Portis,12.3,21.5,7.7,0.9,0.6,0.4,0.9,9.7,22.2
Bogdan Bogdanović,9.3,28.7,4.0,2.8,1.0,0.5,1.0,13.9,26.2
Bojan Bogdanović,8.5,35.6,4.2,1.6,0.6,0.0,2.0,18.0,25.3
Bol Bol,3.5,3.6,0.8,0.4,0.2,0.2,0.2,2.4,5.1
Bones Hyland,5.0,16.9,1.4,2.0,0.5,0.1,1.0,8.9,14.4
Brad Wanamaker,17.0,16.1,2.0,1.8,0.7,0.2,1.1,4.9,11.6
Bradley Beal,5.0,39.0,6.2,4.2,0.8,0.6,4.0,30.0,43.9
Brandon Boston Jr.,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
Brandon Clarke,7.0,14.6,3.7,1.0,0.4,0.6,0.5,6.6,15.2
Brandon Ingram,6.0,39.3,6.2,6.2,0.7,0.3,3.8,27.0,42.9
Brook Lopez,12.5,31.5,5.9,0.7,0.9,1.5,1.4,14.6,28.6
Bruce Brown,12.0,28.1,4.6,2.3,1.0,0.6,1.5,11.3,23.6
Bruno Caboclo,2.0,3.5,1.5,0.0,0.5,0.0,0.0,1.0,4.3
Bruno Fernando,6.0,2.0,0.2,0.0,0.0,0.0,0.0,1.0,1.2
Bryn Forbes,12.5,14.4,1.0,0.8,0.2,0.0,0.4,5.3,8.0
CJ Elleby,2.0,4.0,1.5,0.5,0.0,0.0,0.5,0.0,2.0
CJ McCollum,5.7,39.4,6.2,4.1,0.7,0.6,2.5,22.0,37.2
Caleb Martin,20.0,21.2,3.8,1.0,0.8,0.2,0.8,8.6,16.8
Cam Reddish,4.0,23.0,3.5,1.8,1.5,0.5,1.3,12.8,24.4
Cam Thomas,1.5,4.0,0.2,0.2,0.0,0.0,0.2,1.5,1.9
Cameron Johnson,12.7,27.9,4.1,1.7,0.7,0.2,1.0,12.5,21.7
Cameron Payne,14.0,18.0,2.0,2.7,0.6,0.3,1.1,7.2,15.2
Caris LeVert,4.5,34.5,5.3,6.0,0.8,0.2,2.2,17.6,34.2
Carmelo Anthony,5.5,29.5,4.1,1.8,0.6,0.3,1.9,13.8,22.2
Carsen Edwards,1.5,2.8,0.8,0.0,0.0,0.0,0.0,1.2,2.2
Cassius Winston,1.0,5.0,2.0,1.0,0.0,0.0,2.0,2.0,3.9
Cedi Osman,5.0,18.6,3.0,1.0,0.4,0.2,1.0,6.0,11.9
Chandler Hutchison,2.0,9.0,1.5,0.5,0.0,0.0,0.5,3.0,5.0
Charles Bassey,3.0,4.0,1.7,0.3,0.0,0.3,0.0,0.7,4.1
Chimezie Metu,3.0,2.0,0.3,0.0,0.0,0.0,0.3,0.7,0.8
Chris Boucher,6.5,13.9,3.8,0.2,0.1,0.8,0.2,6.1,13.2
Chris Chiozza,5.0,9.8,0.8,2.2,0.8,0.0,0.5,3.3,9.4
Chris Clemons,2.0,4.0,1.0,0.0,0.0,0.0,0.0,3.5,4.7
Chris Paul,11.8,35.4,5.0,7.4,1.5,0.4,2.2,17.6,38.1
Christian Braun,19.0,13.0,2.1,0.6,0.6,0.2,0.5,3.2,8.5
Clint Capela,8.7,25.6,9.0,0.5,0.7,0.7,0.7,6.8,21.9
Coby White,5.0,19.6,3.4,1.8,0.2,0.0,1.2,8.4,14.6
Cody Zeller,21.0,8.3,2.3,0.3,0.1,0.2,0.6,2.2,5.7
D'Angelo Russell,11.0,31.2,2.7,5.6,1.1,0.2,2.3,12.6,25.8
D.J. Augustin,5.0,25.6,2.0,6.0,0.2,0.0,2.4,13.2,22.8
DaQuan Jeffries,2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dalano Banton,4.0,2.0,0.5,0.3,0.3,0.0,0.3,1.8,3.4
Damian Lillard,5.0,38.6,3.9,7.2,0.8,0.5,2.8,29.3,45.8
Damion Lee,12.0,9.4,1.5,0.5,0.2,0.0,0.2,2.0,4.9
Daniel Gafford,5.0,23.4,5.8,0.6,1.0,2.0,0.6,11.8,28.1
Daniel Oturu,8.0,1.9,0.5,0.0,0.0,0.1,0.0,0.6,1.5
Daniel Theis,16.5,20.4,5.2,1.1,0.4,0.8,0.8,6.6,17.3
Danilo Gallinari,10.0,25.8,4.5,0.9,0.4,0.1,1.3,12.7,19.6
Danny Green,11.2,21.6,2.7,1.2,0.9,0.6,0.7,6.1,14.9
Danuel House Jr.,7.3,18.6,3.4,0.7,0.3,0.1,0.6,6.2,11.9
Dario Šarić,14.0,10.5,2.5,1.0,0.1,0.1,0.4,4.5,9.2
Darius Bazley,7.0,18.0,6.7,0.9,0.0,0.4,0.9,6.6,16.3
Darius Garland,5.0,37.8,1.8,5.0,1.6,0.2,3.6,20.6,32.1
David Duke Jr.,1.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
David Roddy,6.0,12.7,2.8,0.7,0.0,0.3,0.2,3.8,8.9
Davion Mitchell,7.0,20.0,1.3,1.7,0.9,0.1,0.9,7.1,13.3
Day'Ron Sharpe,1.5,5.0,1.5,1.2,0.0,0.2,0.5,1.5,5.4
De'Aaron Fox,7.0,38.6,5.4,7.7,2.1,0.6,4.0,27.4,49.5
De'Andre Hunter,5.3,34.2,4.5,0.8,0.6,0.4,1.7,16.2,23.9
De'Anthony Melton,8.7,19.5,3.2,1.4,0.8,0.7,0.9,6.6,16.1
DeAndre Jordan,3.5,6.9,1.6,0.3,0.0,0.5,0.6,2.3,5.6
DeMar DeRozan,5.0,40.6,5.4,4.8,1.8,0.4,2.2,20.8,38.9
DeMarcus Cousins,6.0,9.9,2.7,1.0,0.4,0.3,1.0,9.1,15.0
DeMarre Carroll,2.0,3.0,1.5,0.5,0.0,0.0,0.0,1.0,3.6
Dean Wade,2.0,5.5,1.5,0.0,0.0,0.0,0.0,1.0,2.8
Deandre Ayton,15.0,32.9,10.1,1.3,0.6,0.9,1.5,15.7,32.7
Dejounte Murray,5.0,38.0,7.2,6.8,2.0,0.2,2.0,23.0,46.4
Delon Wright,4.5,20.4,2.8,2.3,1.0,0.1,1.2,6.1,15.2
Dennis Schröder,9.7,30.4,2.9,3.1,0.9,0.2,1.8,13.0,22.4
Deonte Burton,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Favors,11.0,13.2,4.2,0.3,0.2,0.9,0.5,3.4,11.7
Derrick Jones Jr.,7.3,7.8,0.7,0.3,0.4,0.1,0.2,2.4,4.9
Derrick Rose,3.0,19.0,2.0,3.0,0.2,0.1,0.8,9.7,16.7
Derrick White,21.5,27.6,3.0,2.4,0.8,0.8,1.1,11.0,21.7
Desmond Bane,7.7,31.3,4.4,2.5,0.7,0.4,1.6,16.0,26.8
Devin Booker,14.3,39.6,5.1,5.4,1.0,0.5,3.3,28.1,43.4
Devonte' Graham,6.0,10.0,1.5,0.7,0.2,0.2,0.7,4.0,7.3
Dewayne Dedmon,6.3,9.7,2.8,0.4,0.0,0.2,1.0,3.4,7.2
Dillon Brooks,7.3,31.1,3.3,2.2,0.9,0.2,1.7,17.0,25.9
Dion Waiters,5.0,7.6,0.4,0.4,0.2,0.2,0.2,2.0,4.1
Domantas Sabonis,7.0,34.7,11.0,4.7,1.4,0.9,3.7,16.4,39.8
Donovan Mitchell,7.0,38.0,4.6,5.8,1.2,0.4,3.4,29.3,45.1
Donta Hall,3.0,6.7,1.7,0.0,0.0,0.7,0.3,2.3,6.1
Donte DiVincenzo,8.7,19.3,4.2,2.2,0.8,0.3,1.4,4.9,15.2
Dorian Finney-Smith,8.8,33.5,5.6,2.0,1.0,0.4,1.4,9.6,22.2
Doug McDermott,4.0,13.5,0.8,0.3,0.3,0.0,0.3,2.5,4.5
Draymond Green,17.0,31.3,7.0,6.6,1.3,1.0,2.5,8.7,31.4
Duncan Robinson,15.2,21.0,2.2,1.2,0.5,0.1,0.7,9.2,14.8
Dwight Howard,15.0,14.0,5.4,0.6,0.3,0.4,1.0,5.2,14.0
Dwight Powell,12.5,10.6,2.2,0.6,0.2,0.2,0.3,3.0,7.4
Dāvis Bertāns,11.0,18.6,2.1,0.3,0.4,0.3,0.2,6.7,11.4
Džanan Musa,3.0,13.0,1.0,1.3,0.0,0.3,1.0,4.7,7.8
E'Twaun Moore,7.0,6.6,1.4,1.3,0.1,0.0,0.4,2.4,5.9
Edmond Sumner,2.0,8.8,1.0,0.5,0.0,0.0,0.4,1.0,2.6
Elfrid Payton,2.0,5.2,0.0,1.0,0.2,0.0,0.0,1.2,3.5
Elijah Bryant,11.0,4.5,1.1,0.4,0.2,0.1,0.2,1.3,3.9
Emmanuel Mudiay,3.0,11.3,2.0,0.7,0.0,0.3,0.3,4.3,8.3
Enes Freedom,8.0,10.2,3.2,0.3,0.0,0.2,0.5,3.2,7.7
Eric Bledsoe,9.0,29.7,4.6,5.9,1.2,0.7,2.6,11.7,29.2
Eric Gordon,8.5,32.0,2.0,2.8,0.7,0.5,1.4,13.8,22.6
Eric Paschall,4.0,6.0,1.3,0.0,0.3,0.0,0.0,2.0,4.5
Ersan İlyasova,2.0,5.4,0.6,0.0,0.4,0.0,0.2,3.5,5.2
Evan Fournier,5.0,33.8,3.8,2.0,1.2,0.3,1.4,14.1,24.8
Evan Mobley,5.0,37.6,10.0,2.0,0.6,1.2,2.4,9.8,27.8
Facundo Campazzo,7.0,15.2,1.9,2.3,0.7,0.2,1.0,4.6,12.1
Frank Kaminsky,10.0,6.8,1.4,1.4,0.2,0.3,0.4,2.2,7.1
Frank Mason III,2.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.8
Frank Ntilikina,7.5,5.9,0.5,0.4,0.4,0.0,0.2,1.0,3.1
Fred VanVleet,7.5,37.0,3.7,6.6,1.7,0.8,1.5,16.7,37.0
Furkan Korkmaz,7.0,9.2,1.3,0.4,0.2,0.1,0.4,2.9,5.8
Gabe Vincent,11.0,14.7,0.9,1.8,0.4,0.1,0.8,5.6,10.3
Garrett Temple,2.5,18.2,1.9,1.0,0.4,0.2,0.8,6.0,10.7
Garrison Mathews,3.0,5.7,0.7,0.0,0.0,0.0,0.0,1.3,2.1
Gary Clark,5.0,28.8,5.6,1.4,1.0,0.4,0.4,7.4,20.0
Gary Harris,14.0,27.1,2.0,1.7,1.1,0.3,1.5,7.4,15.0
Gary Payton II,12.0,16.4,3.4,1.0,1.0,0.6,0.7,6.6,16.1
Gary Trent Jr.,5.5,31.9,1.8,1.0,0.9,0.2,0.8,12.4,18.8
George Hill,9.0,19.7,1.6,1.7,0.4,0.1,0.9,5.1,10.4
Georges Niang,10.2,14.7,1.4,0.6,0.1,0.1,0.5,5.2,7.8
Giannis Antetokounmpo,11.2,34.1,13.0,5.7,0.7,1.0,3.9,28.0,53.3
Goran Dragić,6.8,21.3,2.6,2.3,0.7,0.2,1.3,11.9,19.7
Gordon Hayward,5.0,31.4,4.0,2.8,1.4,0.4,1.4,10.8,23.8
Gorgui Dieng,2.0,5.0,1.5,0.0,0.0,0.0,0.0,1.5,3.3
Grant Williams,15.2,16.6,2.4,0.8,0.2,0.6,0.4,5.0,11.0
Grayson Allen,7.3,26.1,2.6,1.1,0.5,0.2,0.6,8.8,15.0
Greg Monroe,2.0,3.5,1.0,0.5,1.0,0.0,0.5,2.0,6.4
Hamidou Diallo,3.0,8.3,2.0,0.3,0.0,0.7,0.7,4.3,8.6
Harrison Barnes,7.0,28.0,3.4,0.7,1.1,0.3,0.4,10.7,19.6
Harry Giles,1.0,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.6
Hassan Whiteside,5.5,16.0,6.1,0.2,0.2,1.6,0.6,4.3,17.0
Haywood Highsmith,13.0,6.4,1.0,0.4,0.3,0.0,0.2,2.2,4.7
Herbert Jones,6.0,37.7,3.3,1.8,1.8,0.8,1.3,10.7,23.9
Immanuel Quickley,6.5,18.6,1.5,1.0,0.6,0.0,1.2,7.4,11.2
Isaac Bonga,2.5,2.8,0.5,0.0,0.0,0.2,0.0,1.0,2.0
Isaac Okoro,5.0,15.0,1.4,0.8,0.4,0.4,0.8,6.4,10.9
Isaiah Hartenstein,11.0,20.0,4.6,1.3,0.8,1.4,0.5,3.1,16.7
Isaiah Joe,5.5,2.2,0.2,0.2,0.0,0.0,0.2,0.6,0.8
Ish Smith,4.5,12.6,1.8,1.5,0.7,0.2,0.5,3.6,10.3
Ish Wainright,6.5,3.6,0.9,0.0,0.0,0.2,0.2,1.2,2.8
Ivica Zubac,11.7,22.8,7.5,0.5,0.3,0.6,1.3,8.2,19.3
J.J. Barea,1.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0
J.R. Smith,10.0,7.5,0.3,0.3,0.2,0.0,0.7,2.0,2.7
Ja Morant,6.3,38.5,6.5,8.3,1.4,0.2,3.5,27.3,49.0
JaKarr Sampson,4.0,12.5,3.3,1.0,0.5,0.0,0.5,5.0,11.5
JaMychal Green,8.8,14.2,3.0,0.6,0.1,0.2,0.4,4.7,9.7
JaVale McGee,10.0,9.7,3.4,0.6,0.2,0.8,0.6,3.9,11.4
Jabari Parker,4.0,14.8,3.8,0.5,0.0,0.8,1.5,8.5,14.7
Jaden McDaniels,6.0,21.7,2.8,0.7,0.3,1.8,1.0,9.3,19.0
Jaden Springer,4.5,3.4,0.4,0.2,0.2,0.0,0.2,1.8,2.8
Jae Crowder,15.0,26.1,4.4,1.7,0.8,0.5,0.8,8.5,19.2
Jalen Brunson,12.0,30.5,4.0,3.6,0.8,0.1,1.3,19.1,30.6
Jalen Johnson,4.0,6.9,1.2,0.6,0.2,0.0,0.6,2.2,4.7
Jalen McDaniels,8.0,12.8,2.0,0.6,0.1,0.0,0.4,2.4,5.6
Jalen Smith,6.0,3.0,0.8,0.2,0.0,0.0,0.2,0.8,1.9
Jamal Murray,19.5,39.8,5.2,6.8,1.2,0.3,2.6,26.3,44.7
James Ennis III,5.0,23.8,5.8,1.2,1.0,0.4,1.2,7.0,18.8
James Harden,11.0,38.0,5.9,8.3,1.4,0.6,3.5,22.2,44.5
Jared Butler,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2
Jared Dudley,5.5,3.0,0.1,0.0,0.2,0.0,0.1,0.0,0.8
Jaren Jackson Jr.,7.7,30.6,6.7,1.1,0.9,1.9,1.7,15.7,32.2
Jarred Vanderbilt,10.5,19.0,5.2,0.8,1.0,0.6,0.8,5.0,16.1
Jarrell Brantley,2.0,4.0,1.2,0.5,0.0,0.2,0.5,0.5,3.0
Jarrett Allen,4.5,35.6,11.1,2.3,0.6,1.4,1.7,9.9,31.1
Jarrett Culver,3.0,7.3,2.3,0.3,0.7,0.0,0.7,2.3,6.9
Jason Preston,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javonte Green,3.0,10.2,2.0,0.2,0.9,0.0,0.4,2.2,7.2
Jaxson Hayes,6.0,13.8,2.5,0.2,0.0,0.3,0.7,5.8,9.3
Jay Scrubb,6.0,1.3,0.2,0.0,0.0,0.0,0.0,0.0,0.2
Jaylen Adams,3.0,7.0,1.0,0.7,0.3,0.0,0.0,2.0,5.2
Jaylen Brown,20.3,38.5,6.7,3.1,1.2,0.4,2.9,22.5,37.2
Jaylen Hoard,3.0,13.7,3.0,0.3,0.0,0.0,0.7,4.7,8.0
Jaylen Nowell,3.0,12.2,0.5,0.8,0.5,0.0,0.2,4.6,7.7
Jayson Tatum,16.5,39.6,8.2,5.3,1.1,1.2,3.1,27.3,49.0
Jeff Green,10.8,23.2,3.2,1.1,0.5,0.4,0.7,6.9,14.4
Jeff Teague,16.0,7.4,0.5,0.8,0.2,0.0,0.4,2.0,4.0
Jerami Grant,19.0,34.4,3.3,1.3,0.6,0.8,1.3,11.6,20.4
Jeremiah Martin,3.0,9.0,1.0,1.3,0.0,0.3,0.7,4.0,7.4
Jevon Carter,7.3,9.0,0.9,0.8,0.3,0.0,0.2,1.4,4.6
Jimmy Butler,16.0,38.4,7.0,5.9,1.8,0.6,2.1,22.8,44.9
Joakim Noah,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jock Landale,7.0,16.1,4.0,0.4,0.4,0.4,0.3,6.1,13.6
Joe Harris,6.0,27.7,5.0,0.9,0.4,0.1,1.0,9.8,17.6
Joe Ingles,7.7,26.3,2.6,3.4,0.6,0.1,0.9,8.7,18.1
Joel Embiid,8.5,36.2,10.8,2.4,0.9,1.6,3.7,26.4,46.7
John Collins,9.7,27.9,5.9,1.0,0.4,0.6,1.3,11.5,21.7
John Konchar,4.7,6.6,1.8,0.5,0.3,0.5,0.1,0.6,5.7
Jonas Valančiūnas,5.5,31.2,12.0,2.8,0.6,0.4,2.0,14.8,34.6
Jonathan Kuminga,13.0,7.4,1.3,0.5,0.2,0.0,0.6,4.3,6.8
Jordan Clarkson,8.0,28.0,3.2,1.6,0.7,0.2,1.6,17.2,24.5
Jordan McLaughlin,3.5,11.8,1.7,2.2,0.5,0.0,0.2,3.1,9.7
Jordan Nwora,6.5,4.4,1.1,0.2,0.0,0.1,0.1,1.8,3.6
Jordan Poole,17.5,24.6,2.5,3.6,0.8,0.3,1.8,13.6,23.6
Jose Alvarado,6.0,19.5,1.3,1.5,1.2,0.2,1.2,8.0,14.8
Josh Green,8.5,5.8,0.4,0.2,0.2,0.0,0.0,0.7,1.9
Josh Hart,11.0,32.1,7.4,2.2,0.8,0.3,1.9,10.4,24.0
